Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Glarus,240,0.04401249563612364,0.024830143994709425,0.02825779224026158,0.020059023170381274,0.051601663371489186,0.02677887790866871,0.7134342216263216,0.05473363156153042,0.013273517571452625,0.01385340527295936,0.14898097800787272,0.043102273368285995,0.00043933154647857496,0.002536681296431305
Agglomération Wohlen (AG),413,0.05023545058127194,0.020156209161430162,0.01668393133532209,0.011819292832196812,0.007572295795486045,0.007999428347176585,0.7597106884395756,0.03942639536367815,0.015088596571864087,0.011249124778174836,0.14826577987998144,0.03279202520156106,0.0024432573964989954,0.004555637330935127
Centre hors des agglomération St. Moritz,94,0.07419881067100996,0.05069488778083677,0.004184779475132902,0.012486263488279156,0.0,0.0,0.7522133133763744,0.08350573806034362,0.045617126541719503,0.040358229725438725,0.11719748058345124,0.062215378360963754,0.006588489352312003,0.01564819844153643
Agglomération Interlaken,264,0.05199024451107792,0.025623362658519895,0.03030764430589682,0.019786175961956816,0.026202625061063578,0.018436373216261463,0.5807854797070048,0.056950143614380236,0.015737526109548962,0.014364565227697908,0.26447092119216087,0.050904676011678855,0.03050555911324702,0.019848648752418343
Agglomération Lachen,309,0.03834368861713143,0.020485586468968215,0.018175425339704575,0.014251177668993071,0.003917449412811329,0.006664090380848153,0.6341492082569014,0.05138534075162878,0.015758926404566997,0.013286346363711753,0.2422530453605512,0.045707580873244606,0.0474022566083332,0.022669701235392865
Agglomération Amriswil - Romanshorn,532,0.03579332295023623,0.015104314304310437,0.03372357826870889,0.014676836406622134,0.007576877357685564,0.007050314712718459,0.6880493952735693,0.03766757504169168,0.01349407547565578,0.009380723903069536,0.20920892801759106,0.03307013161099622,0.01215382265655301,0.008908735127561495
Agglomération Brig - Visp,335,0.06607564545707423,0.02545217541288034,0.029691484424519018,0.0173907866361452,0.027296341491091308,0.01669517001927429,0.37806605567725626,0.049682600946618076,0.021637003130128642,0.014907228670150242,0.4708411796631232,0.05114210381400387,0.006392290156807238,0.008165524129836265
Agglomération Frauenfeld,458,0.05048303020411354,0.019185012551063602,0.033054840432828254,0.015665940364449227,0.003904043203034999,0.00546444313346987,0.6630592593394169,0.04141817414610572,0.01779561460376463,0.011584984176056598,0.214238078537261,0.03595272693978826,0.017465133679580646,0.011478838800388821
Agglomération Zug,657,0.051434882447187795,0.016160340962666664,0.03962580951783776,0.014272412287052848,0.005569038615827419,0.005444594025320662,0.7052116058821888,0.03335822894162147,0.03279376711418338,0.013029965511933582,0.15910205835116387,0.026760708828419407,0.006262838071611082,0.00577177544025016
Agglomération Lugano (CH),622,0.06502453678512392,0.018540195174321452,0.013643337414048018,0.008722738691173782,0.029235416354267147,0.012667390670480802,0.6893581481713762,0.03479589416088015,0.03236547958025295,0.013306758078090161,0.09891106749273955,0.022448216051938693,0.07146201420219231,0.019369259839782976
Agglomération Sierre,180,0.06204005550710091,0.033718072183095395,0.010502157384484517,0.014248895061775036,0.028788167808792606,0.02337214092211971,0.7596565557058533,0.05972543017065405,0.007127339816284833,0.011758312815482739,0.1295132169955736,0.04693238636407264,0.0023725067819102205,0.006800211760015617
Centre hors des agglomération Schönenwerd,122,0.0409304263813156,0.03363868649174797,0.020457815791440948,0.024034331224933456,0.003958067114033716,0.010660344177605547,0.6620967357375462,0.080305955769729,0.04501829695589427,0.03520326091427147,0.17954810717667208,0.06516401192358624,0.04799055084309716,0.0362901977898357
Centre hors des agglomération Reinach (AG),62,0.03340290688004498,0.042794679940585424,0.011660026392477967,0.025566887239144968,0.03144381842862428,0.04156281531226596,0.4720373630501905,0.1188953011717447,0.03997826465580821,0.046658138840355884,0.41147762059285403,0.1172005122507415,0.0,0.0
Centre hors des agglomération Einsiedeln,135,0.05520630273179071,0.03686096447121661,0.01611696339381035,0.020324375757198695,0.0,0.0,0.6628734870686538,0.07629843817408397,0.04725319659977212,0.03424587097588349,0.1828771968426364,0.062391770905031875,0.03567285336333659,0.029935394790798448
Centre hors des agglomération Sarnen,170,0.0518036082442367,0.03187685355968813,0.016111239593075293,0.018108553924403973,0.005738941843729649,0.010864566932283328,0.6779476706575592,0.06720593099792076,0.021456544543548225,0.020840889098359093,0.21285584154234233,0.05887300694228661,0.014086153575508523,0.016949698813440356
Agglomération Lenzburg,335,0.04373804001469159,0.0209539763234156,0.034624644780035005,0.018732214286167254,0.0006092174422686811,0.002528146195694177,0.5632660180812707,0.05081753772720634,0.01757717360800692,0.013463937704120878,0.33413703540033257,0.048328474600727325,0.0060478706733944855,0.007943873727483801
Centre hors des agglomération Aigle,91,0.0886541938852741,0.05587805743616898,0.015823701746718943,0.02453242911310261,0.004583446940836348,0.013278486941117718,0.6536784301634202,0.09353451645788574,0.007596802889754656,0.017069058384248915,0.2177543166304544,0.08113440051130599,0.011909107743541281,0.021324954723705776
Centre hors des agglomération Flawil,47,0.056952718415697615,0.06339365434829837,0.04700947411691105,0.05789736685400664,0.0,0.0,0.4457054827340998,0.13596154915473255,0.012581887850829396,0.03048914699495271,0.4359557300129354,0.13564369623027747,0.0017947068695266207,0.011577866070177634
Centre hors des agglomération Payerne,60,0.0687381707477401,0.06125337387255017,0.02242218110590636,0.03584344350193642,0.0,0.0,0.8295671746777735,0.09103272216469814,0.0023281689319997133,0.011667994838041986,0.07561239504844744,0.06400570455117656,0.001331909488132701,0.008829641515744502
Centre hors des agglomération Kirchberg (BE),73,0.05012179970416508,0.04789129847922985,0.024855155109989275,0.03417056242219831,0.0,0.0,0.8150648400638489,0.08521482309356017,0.006380573562120503,0.017476289106212465,0.1035776315598763,0.06688036799909845,0.0,0.0
Centre hors des agglomération Sursee,126,0.02962675385422667,0.02832676129372695,0.03009743032448249,0.02854396136787419,0.0026255989448183722,0.00854926510341279,0.6924457409519333,0.07709731047519862,0.009671224737523132,0.016349930762703788,0.23462487388480954,0.07079615626114537,0.0009083773022065284,0.00503293448067467
Centre hors des agglomération Wattwil,35,0.04907356971005535,0.06847531140451253,0.011142175565475755,0.03327274696207057,0.008248046278962492,0.028669083419896185,0.6985807840674807,0.14545562373425613,0.04226388067728116,0.06377410175963473,0.18921522029275215,0.12415595619013424,0.0014763234079923696,0.012170450881155528
Centre hors des agglomération Spiez,81,0.04790150608994213,0.04449833564126376,0.03339654642108579,0.037437185773644105,0.001600499861033086,0.008329294965189577,0.5614833165713679,0.10339266576667573,0.032707822999667846,0.03706234558886947,0.32291030805690346,0.09742990962742436,0.0,0.0
Agglomération Monthey,186,0.03850394374180574,0.026457002733677515,0.02305371269329233,0.020635740750501567,0.0031413786639802616,0.007694691472483542,0.7617842827688655,0.0585754308487668,0.004155942523431536,0.008845954799401815,0.12642073653749245,0.04569562248570981,0.04294000307113233,0.027875001479456072
Agglomération Kreuzlingen (CH),454,0.05555542502536854,0.020160175228359275,0.030390134444058817,0.015108023466648756,0.006532471002269993,0.007090198776394548,0.7042352087551487,0.04016751187570143,0.015882778791955397,0.011003465513994937,0.184435034514939,0.034134521443539824,0.0029689474662595423,0.004788488249597828
Centre hors des agglomération Oensingen,37,0.0317538361969045,0.05405811329683453,0.013355052401344452,0.03538939497784328,0.012118906258348461,0.033732920408362545,0.9216586978104944,0.08284195658143628,0.010507099195129255,0.03143530287683146,0.010606408137778868,0.03158192556528753,0.0,0.0
Centre hors des agglomération Döttingen-Böttstein,36,0.06122628283402613,0.07493227374122174,0.046831607247655456,0.06603494964456687,0.0,0.0,0.6608379318603188,0.14796896032975718,0.0032483054468751163,0.01778449037574641,0.21020030793202024,0.12734874142504113,0.01765556467910423,0.04116159583447142
Centre hors des agglomération Weinfelden,63,0.03879720310607308,0.045625559270996034,0.013131800139419586,0.026896278214995097,0.0004333507775663167,0.004917293689352087,0.6410969439841501,0.11333157136446098,0.0008170513192767547,0.006750682051010382,0.29831259563524154,0.10809562446242339,0.007411055038272554,0.020264001789307522
Centre hors des agglomération Arth,107,0.03412519780702025,0.0329137125291992,0.00607899933471043,0.01409194197250361,0.0003393742375117455,0.0033392166229281126,0.7382271331083325,0.07969593701309903,0.02881269887359412,0.030326502898283012,0.19068601628564638,0.07121915390409049,0.001730580353184442,0.0075352667836436835
