Agglomération;Echantillon;Total;Total (+/-);A pied;A pied (+/-);Vélo (incl. vélo électrique);Vélo (incl. vélo électrique) (+/-);Deux-roues motorisé;Deux-roues motorisé (+/-);Voiture;Voiture (+/-);Transports publics routiers;Transports publics routiers (+/-);Train;Train (+/-);Autres;Autres (+/-)
Agglomération La Chaux-de-Fonds - Le Locle (CH);1068;31.435281687441595;3.3517370033539815;1.9115108339987654;0.17278674982774164;0.32053223619887955;0.29849667416626036;0.20283629253977958;0.17765670699807315;23.81514838181023;3.0535058296630893;0.7414662292529904;0.16597927630737722;4.264446835703684;1.40993957282004;0.17934087793726466;0.15667569645546864
Agglomération Schaffhausen (CH);667;38.82205045161839;5.251971476742213;1.8502395839019048;0.21736151375057777;0.639760771621076;0.25050581609406025;0.2354251214966993;0.22167099114007366;24.152921165620466;4.367652593886244;1.7020634271339583;0.34851037404038054;9.009787764146608;2.981754003531757;1.2318526176976867;1.0334856263655037
Agglomération Buchs (SG) (CH);323;40.094824222531464;7.463219125394946;1.7995089785688192;0.35758316020581343;1.503327215832163;0.5209783292562687;0.27710378897091037;0.5102726056308657;29.66064521398583;6.644635387483386;0.9679883507357849;0.45989302398917414;5.825355673462323;3.3420160693309144;0.060895000975628714;0.08014880993692249
Centre hors des agglomération Porrentruy;62;31.480086908361855;11.016668055756826;1.3413020117163872;0.6590526369999755;0.4243436307092998;0.45754490384101876;0.0;-;21.949034133166656;7.923176612970754;0.18869845065190133;0.22506955550900948;7.57088615822982;7.14263741243422;0.005822523887788738;0.012898243239503341
Agglomération Lausanne;2553;36.200261205129344;2.1100771840638215;1.964682884675289;0.10203456152221894;0.3409532339192227;0.1296560512551263;0.8490838483304689;0.49410213922224094;24.079177021440007;1.7432490168745027;1.5599787359508441;0.14900584110655415;6.9469654984900195;1.2055159476249768;0.45941998232349635;0.28848440547004095
Agglomération Altdorf (UR);267;35.24247581866595;5.546326626591995;2.2119849648109566;0.4110975434829989;1.417742953656751;0.7105341808632043;0.4077845426659494;0.4045644192448313;19.916719450260445;3.8078643998610953;2.955319895637101;1.4340347170290895;7.055897540753453;2.9692343539859736;1.2770264708812953;1.248715423162697
Agglomération Rapperswil-Jona - Rüti;581;38.811701396112134;4.650832308920581;2.062910335228746;0.25513022634061777;1.4340362711641923;0.4145191431698959;0.1818296508442689;0.18394958435508377;18.624080943011002;2.891173671629425;1.5394199677947922;0.6798454154304211;14.04095762967368;3.5849820909171366;0.928466598395454;0.8858282301623832
Agglomération Fribourg;1130;40.723093723749265;3.4899176358981503;1.9488439099290344;0.15672533433886698;0.4055014491102738;0.23401582092346687;0.4393650159932032;0.4190537694756141;26.338468217969897;2.6522234790218233;1.4608185438954624;0.2475211778031978;9.10809243798264;2.272411432578427;1.0220041488687526;0.9033017940614533
Agglomération Thun;463;40.59099331688376;5.424019772877523;1.8813727248488588;0.2653315715528358;1.5745206740114577;0.409414379743006;1.5217012635743736;1.362521075224259;23.69253871906755;4.181151276560314;1.214464219911658;0.3090683920856879;10.256248949611086;3.506764731807107;0.45014676585877444;0.36669334490906785
Centre hors des agglomération Burgdorf;172;41.76656688530278;9.2046993938509;2.478835027101288;0.6235329508863948;1.762194623614116;0.8263941602736483;1.4839300120015113;1.7980155132546207;18.758880748905355;6.341719417843625;0.6753377194993743;0.4198838361623556;16.508720386263107;7.171555025041791;0.0986683679180179;0.10323038009195679
