Agglomération,Echantillon,A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération La-Chaux-de-Fonds-Le Locle (CH),777,0.07704050263165921,0.017939532430617113,0.006629372840085883,0.005459490614175129,0.03315188547146458,0.012044630688524804,0.7313663003791457,0.02982002226874729,0.02822147317184995,0.01114124522915038,0.11414472555598532,0.021392894824123224,0.009445739949809427,0.0065075478729667525
Agglomération Delémont,620,0.05352283213718343,0.0169511638862272,0.017106396951933302,0.009765791232244131,0.002845737355404306,0.00401193133463384,0.6496109719430618,0.03593162295734746,0.03367393521681878,0.01358575229219652,0.227363249447292,0.031566230496654094,0.015876876948306373,0.009414172815710213
Agglomération Solothurn,917,0.04784628741490858,0.013217938922111134,0.03721128239249816,0.011721654076141877,0.014413025972073244,0.00738093104299469,0.648245966520982,0.02957164884518104,0.02294291566931841,0.009271934590218179,0.19864317187628788,0.02470790241024954,0.030697350153931758,0.010682335895896114
Agglomération Zürich,7662,0.06206938609967963,0.00516920505666051,0.019171369361261386,0.0029378039763724847,0.012691971134478027,0.002398228457448133,0.5706329805224738,0.010604555157263376,0.057276885584779835,0.004978304481147572,0.2550093333198838,0.009337984176713521,0.02314807397744367,0.0032215989805756055
Agglomération Baden-Brugg,917,0.05634600094439948,0.014279862552187939,0.02389329123902531,0.009457421017730328,0.005559535722541039,0.0046046300370380525,0.6688071027412624,0.029145870525243627,0.04079627728019463,0.01225044263661836,0.20114566809675627,0.02482419791397368,0.0034521239758207147,0.0036322719906286874
Agglomération Wohlen (AG),521,0.04901743626813443,0.017738360034648817,0.017998174804735062,0.010922505504006683,0.011344041335366404,0.00870078397920794,0.7381619740254503,0.036119695925546424,0.019070992101421987,0.011237179647179693,0.1514889098345911,0.029455817038722725,0.012918471630300713,0.00927756428540241
Agglomération Lenzburg,491,0.05127646006550068,0.01866632674031959,0.019997454483211025,0.011847615954866006,0.025836489046864728,0.013426495942629235,0.5676470568624864,0.0419264810172023,0.016812272702303902,0.010880815465177256,0.2686264911717527,0.03751232997949632,0.04980377566788056,0.018410593621039455
Agglomération Rapperswil-Jona / Rüti,871,0.05003749912603181,0.01385360194634136,0.025183866680841178,0.009955985055081346,0.011610054950184242,0.006806799731724239,0.5392680164288172,0.031672926182766174,0.03700275868728599,0.011994751345662883,0.32874726571118923,0.029849412291971317,0.008150538415650378,0.005713177358796528
Agglomération Wetzikon - Pfäffikon (ZH),744,0.058046306695069064,0.016076309498565953,0.023029446079791578,0.010312566664476618,0.0029504391518910046,0.0037289451077445897,0.5750233567962709,0.03398674394340953,0.02555333265961029,0.010848934759046839,0.28427908776116484,0.031011915776291282,0.031118030856202235,0.01193784061684534
Agglomération Amriswil-Romanshorn,238,0.04344731151852198,0.024780962891521017,0.026509928715091405,0.019527755027484058,0.012593706803286472,0.013555233704522829,0.7289934980807555,0.05402987437473167,0.01183412114296523,0.013145139741995503,0.14158979585300308,0.04237851053917702,0.035031637886376386,0.022349562901711275
Agglomération Schaffhausen (CH),681,0.05805670523165177,0.016804893710489387,0.017447480196289205,0.009408956085933902,0.021418803145078345,0.010403829605424115,0.5755959323120614,0.0355177809613668,0.05263980633973206,0.01604766705493245,0.23378757550395557,0.030414627806187578,0.04105369727123166,0.014258389686378757
Agglomération St. Gallen,1084,0.0664888264937649,0.014190255224946503,0.012346767259255714,0.006289773235060245,0.013139504835758885,0.006485948472988745,0.6219776986202586,0.027618636231429797,0.047891822948234915,0.012162698584035108,0.22796120267665987,0.023894951043089165,0.010194177166067072,0.0057214644416982855
Agglomération Heerbrugg (CH),603,0.042169014994877595,0.015348052174431689,0.04561779253821044,0.01593457180367964,0.01653733921084795,0.009739212744547398,0.7713167492918559,0.03207344849401476,0.0109153742323724,0.007935022055390786,0.09950484093665159,0.0228599298675399,0.013938888795184207,0.008953195954492467
Agglomération Buchs (SG) (CH),224,0.03798884748051989,0.02395327259144364,0.04104383511557065,0.024858223550537052,0.016495668240972053,0.01595952053041674,0.7375913207334034,0.05512438293768301,0.03242914647682647,0.02219503797227112,0.0646028742049846,0.030801415849328214,0.06984830774772305,0.031937548652373825
Agglomération Wil (SG),891,0.04827296670969046,0.01346604617491892,0.018938311514503488,0.008563487887170897,0.015677333937960655,0.0078043502015061866,0.6245122852962238,0.030422875543815835,0.03679753598810486,0.011827693543965033,0.227606706083193,0.026341692500530905,0.028194860470323744,0.01039935663751738
Agglomération St. Moritz,243,0.08467564949039877,0.03349148412973704,0.02471454630047757,0.018677115795463255,0.00024149499346834625,0.001869257949797783,0.7883473261622617,0.04914035572319523,0.027449910976737695,0.019655951684648044,0.05127653350579167,0.026533636001365428,0.02329453857086418,0.01814581508923108
