Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Arbon-Rorschach (CH),865,40.127972129799886,4.0959927734472075,1.9383676095388405,0.2060158717484162,1.102208976400745,0.36544190957123424,0.2066379796017654,0.1237236013094951,30.06602874775052,3.7135206598708677,1.066810074787496,0.2917347566959312,4.6346042785296735,1.6236778156415095,1.11331446319085,1.1427104136185797
Agglomération Frauenfeld,247,43.231300107222964,9.375090179335675,2.792051949049078,0.5347451514173515,0.7375849950381843,0.3003180736909387,1.4119419984377435,1.6756334161597093,21.073041965221407,5.062608395972799,0.727777796539158,0.39313678889463316,15.85744677891088,8.120784952035324,0.6314546240265111,0.7630930827455853
Agglomération Kreuzlingen (CH),244,29.98074786284301,5.9348377569352,1.4836450041326144,0.2914228245860435,1.258185875682011,0.7708237356315822,0.0980700952699233,0.14652764455122494,21.98277908490116,5.048188903676897,0.3695564746211565,0.22470510720660286,4.399856766151522,3.428053565195097,0.3886545620846271,0.3352787426511124
Agglomération Luzern,1737,37.21436598468927,2.5991662285583343,2.4673338699173524,0.1704962468066291,0.9496811729586105,0.18733173111249318,0.5502368832967487,0.31395964131694576,21.88728204853354,2.089988922268001,2.0674233005466096,0.22202400083554114,8.66599735387628,1.4985986355435343,0.6264113555601434,0.4088197537375827
Agglomération Lachen,403,46.96763697348565,5.405203160344871,2.0782722419245205,0.3928384945373513,0.7385989325519395,0.391333702416404,0.14529029326722787,0.18755746881898228,34.14357797707834,4.990261316472412,0.6218357098937441,0.2573267654182414,8.507677310983198,2.805106108721655,0.7323845077866857,0.7863050460297394
Agglomération Schwyz,288,29.480247944699382,5.1025127849310365,2.50312603114796,0.6065416029595587,0.576608941130966,0.2835411198907731,0.48644606630089626,0.451235472952181,17.229275870495073,3.8570352766940363,0.938057016809731,0.4324463088817158,5.440853286763396,2.5698430934490526,2.3058807320513557,2.69170482875116
Agglomération Stans,478,38.786009398286936,4.287695445366936,1.9200027130056248,0.36538950160758993,0.8853485884991161,0.29765842265016174,0.15642006594144175,0.13314670172698714,30.419405889681766,4.114322287991053,1.0319426423993625,0.30059874034152995,3.5150423145419225,1.5902202165135413,0.8578471842176959,0.661531369879515
Agglomération Zug,937,40.02633433123838,3.3679128944624055,2.157256049699922,0.19237078363514737,1.1729294997378388,0.385243703210728,0.4829010437487617,0.3016928516893367,26.366654595005514,3.088141783831196,1.5940600282731623,0.2846898781366032,7.2214911494663925,1.5058414001643505,1.0310419653067866,0.7167403722426057
Agglomération Lugano (CH),588,27.652797653800686,3.506496760932364,1.857022759243244,0.21874376158927653,0.03727463019107829,0.034091353846473105,0.8282326966074351,0.4073650294784704,19.91081094617392,2.710869245037468,0.8780747153133303,0.34775873236941185,2.6819637672142917,1.5832524754554476,1.4594181390573824,1.7420679974741369
Agglomération Bellinzona,630,32.77371773508257,3.8446881513406366,1.5281673228014439,0.20114196560461814,0.5942296389521627,0.37389228268924607,0.40527637731697574,0.2561992075746241,26.955570769114026,3.6113592682355162,0.681496817967019,0.2583050702357377,2.3611597787651166,1.3479028645674656,0.24781703016582404,0.1920248308805768
