Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération La-Chaux-de-Fonds-Le Locle (CH),986,31.102204622265788,3.502384863363719,1.9105384887247567,0.17932360166395075,0.3410511127763624,0.3217561184459765,0.21762422771744208,0.1915072139350077,23.661109239522258,3.2395736244119653,0.7305249396530847,0.1594197983273477,4.147677192705084,1.431004780222116,0.09367942116679853,0.09231329348050513
Agglomération Frauenfeld,608,36.07650812691707,4.008709687852063,1.8426775884623097,0.25307343388082115,1.2193484052586572,0.3711620329058318,0.13642832676840258,0.10913059754547727,24.578600140303433,3.515375325660608,0.5954931589679255,0.18907265882997712,6.954685057109302,2.0345034124142196,0.7492754500470437,0.6860138444585973
Agglomération Schaffhausen (CH),666,38.5998686857073,5.15137572988197,1.857682466797779,0.21559371018849488,0.6517202058438604,0.24987428046777077,0.23152089167750026,0.2199972362560367,22.986485845986945,4.193461450692306,1.638925282002026,0.3383619619516973,10.036013039490985,3.0712541833270053,1.1975209539082075,1.0254702040107029
Agglomération Wetzikon - Pfäffikon (ZH),586,38.999263420063905,4.242740670293331,1.8734975666069866,0.23787519977484287,0.8440583542040504,0.3586055382388238,0.06065814419230349,0.06218605255542765,26.480942840992682,3.85403436745872,0.9268325459244892,0.23845140734689887,8.688262763410274,2.1480367060705174,0.12501120473311955,0.11420548585786744
Agglomération Lausanne,2227,35.56725497798476,2.3206138731477877,2.02418951559278,0.10979667839283118,0.34035366248900273,0.13445503000206796,0.8546166296909076,0.5561949072067297,22.75161458126568,1.877233895773394,1.6772463690079409,0.16392831189569762,7.322202413313868,1.348389212778392,0.597031806624576,0.3998616263910017
Agglomération Stans,464,36.79837466464252,4.633813625203536,1.6444588832904343,0.24684639931390476,1.1141874773491687,0.3580624191841312,0.7760841655781867,0.6426227428502774,26.171125802667063,3.932711110493099,0.8053933056707988,0.2790273428156986,5.8730039962955765,2.7557353314642046,0.4141210337912993,0.30975987650940906
Agglomération Rapperswil-Jona / Rüti,581,38.811701396112134,4.650832308920581,2.062910335228746,0.25513022634061777,1.4340362711641923,0.4145191431698959,0.1818296508442689,0.18394958435508377,18.624080943011002,2.891173671629425,1.5394199677947922,0.6798454154304211,14.04095762967368,3.5849820909171366,0.928466598395454,0.8858282301623832
Agglomération Fribourg,1235,40.120790574418024,3.2638199514263624,1.9078681351820637,0.14783946923473432,0.4175447621901363,0.21633551535132503,0.3967123451755888,0.38112542993754145,26.238811581199837,2.513408222922386,1.3857979035176387,0.22819751428781057,8.848206053304015,2.092501224751007,0.9258497938487497,0.8219842581616587
Agglomération Bern,1305,39.058543778071105,3.376633459838781,2.1437258990623675,0.15254853093206097,1.2576075605009591,0.30555983207164894,0.32004159430353374,0.23293296082305612,20.642169601377233,2.521942735635836,2.0958872892144202,0.24244619399949324,12.117510865145949,2.3855000497279844,0.4816009684666475,0.37429631149097253
Agglomération Thun,574,42.55247320647675,5.152674792820838,1.9748604419839282,0.23756043464698276,1.5197357066395896,0.3659076293243317,1.2352183865167947,1.098899042758076,24.29489474776062,3.9672040384120133,1.1922057003329762,0.2899715375017385,11.958827763194224,3.475892033302302,0.3767304600486218,0.2974173173684454
Agglomération Burgdorf,243,37.87136627557951,7.078103638868629,2.2478987661110414,0.48249134105914565,1.4464832113953339,0.6050827282421728,1.0374115913501416,1.2662429772593657,19.820427827887897,5.156483228319754,0.5438970397795807,0.30461101584844513,12.706269041032764,5.262993968561702,0.06897879802275202,0.0727515268006456
Agglomération Chiasso-Mendrisio (CH),568,30.607751929728057,4.823140524243299,1.3191362718034065,0.19147718025782948,0.5096457629911345,0.4417471664459799,1.0199062732933817,0.6535803625340804,20.066489595065942,3.185523073683618,1.337675765718647,1.7543898354772993,6.1681339850661905,3.106942788590297,0.18676427578935467,0.18653689718520733
